vin,brand,model,year,mileage,defects,dealer,price
3ZN8AND5GD1NRMT72,Hyundai,Santa Fe,2024,88805,"потёртости салона, трещина на фаре",Петров Лтд,14229000.0
523K12LDSJNYE03R7,Hyundai,Santa Fe,2024,2052,"коррозия порогов, неисправность датчика давления в шинах, царапина на бампере",ООО «Рогов»,14860000.0
SW0W12WDD6UZL89YZ,Kia,Cerato,2019,19766,"коррозия порогов, скол на лобовом стекле, царапина на бампере",АО «Цветкова Журавлева»,14695000.0
A392CLUXSXCREU1C2,Hyundai,Elantra,2025,59827,износ протектора шин,"ИП «Голубева, Большакова и Русакова»",7872000.0
RMJV8LCEZPRSXMB32,BMW,5 Series,2022,98656,"коррозия порогов, царапина на бампере",Прохорова Групп,10136000.0
S8A8X3DZLUB4ZR9F8,Kia,Sorento,2022,122866,не работает кондиционер,"ОАО «Воронцова, Воробьев и Карпов»",22366000.0
3E9CCE3WAP4S1GMR0,Mercedes-Benz,GLE,2018,193583,нет дефектов,ИП «Мухина-Филиппов»,24591000.0
T1EJ61ZK4VJ9GGDH0,Toyota,RAV4,2021,4007,нет дефектов,"ЗАО «Семенова, Гурьева и Никитин»",4499000.0
BH1BB4H9CC53LXU73,Kia,Cerato,2015,176248,"неисправность датчика давления в шинах, царапина на бампере",ИП «Тарасова»,22096000.0
9XS2S2ZYZGBSNL1KN,Mercedes-Benz,GLE,2016,123947,износ протектора шин,"НПО «Лапин, Михайлова и Шаров»",13859000.0
10UP6G6URPFJM0XDF,Hyundai,Sonata,2018,44332,царапина на бампере,НПО «Рыбакова»,19513000.0
TAG0UD716PP0TLECD,Hyundai,Sonata,2022,28974,неисправность датчика давления в шинах,Нестле Россия (Nestle),10668000.0
UBKE2PE22UADHE3WA,Hyundai,Santa Fe,2025,51457,нет дефектов,ИП «Павлов»,6378000.0
4AYNT72KYH8JN9992,BMW,X5,2025,198841,нет дефектов,"ОАО «Захаров, Котова и Миронов»",13701000.0
NF675JHDPXEMHKZRG,BMW,X3,2016,35626,коррозия порогов,РАО «Носкова Маслов»,18412000.0
4F5V1VX80MYFEF30B,Hyundai,Elantra,2024,125046,нет дефектов,Группа ГАЗ,15408000.0
TZTYMA0LS5PSDR77S,Kia,Sportage,2024,33616,коррозия порогов,Журавлев Инк,18138000.0
BUTEJ5794CHTADK15,Hyundai,Elantra,2020,187132,нет дефектов,"ОАО «Мухин, Сорокин и Смирнов»",20202000.0
V8SVG4GP0TVM7NDBK,Hyundai,Elantra,2015,199339,трещина на фаре,ООО «Кузнецова-Голубев»,5318000.0
0T561ZHTDXVDPBX5N,Mercedes-Benz,C-Class,2021,53019,нет дефектов,ЗАО «Бобылев»,5523000.0
1Z6H54SEZH6PYCTHV,Hyundai,Tucson,2018,103455,нет дефектов,Эркафарм,24495000.0
AFY3EU3CY0A22RMVK,Mercedes-Benz,E-Class,2015,191584,царапина на бампере,ЭйчПи Инк (HP Inc.),22795000.0
N5B0TXG5ZPW3LLTAV,Mercedes-Benz,GLC,2018,16565,трещина на фаре,ООО «Крюкова»,8856000.0
034MG75WK3DJ4HFT3,Toyota,Corolla,2018,55652,"потёртости салона, коррозия порогов","ЗАО «Кулагина, Пестова и Егорова»",14893000.0
8PWC42DBXCURNUZ3M,Lada,Granta,2021,131988,нет дефектов,Merlion,9967000.0
C42FFLHDA12VFNA74,Toyota,RAV4,2019,113609,"коррозия порогов, потёртости салона",Аксель-Моторс,5676000.0
7P1ZUMX98D4WPD22N,Hyundai,Santa Fe,2019,146270,нет дефектов,Охрана Росгвардии,13548000.0
F25K4VD5C5DNVDVJV,Lada,Granta,2021,138331,нет дефектов,Селезнев Лимитед,23384000.0
L0K363ES58BKDYB70,Mercedes-Benz,GLC,2024,169544,нет дефектов,ОМПК,23701000.0
CKSR4CDKTNZL6VZB5,Lada,Vesta,2024,154982,"износ протектора шин, не работает кондиционер, царапина на бампере",ИП «Петров»,15204000.0
ZGWWSFZAAXLLG2YCE,BMW,X5,2019,177789,нет дефектов,Шаров Лтд,15172000.0
RBSZCN8Z68FHTZK18,BMW,X5,2025,36990,нет дефектов,"АО «Сергеев, Соболева и Носков»",19932000.0
XAH42SPYG4NXTE2AM,Mercedes-Benz,C-Class,2020,61979,"трещина на фаре, скол на лобовом стекле, царапина на бампере",Сазонова Инкорпорэйтед,12066000.0
KTUS9XK91NTXUSKMX,Hyundai,Elantra,2021,31554,износ протектора шин,ОАО «Красильников Воробьев»,16169000.0
908M48SUF48VVDPE4,Hyundai,Santa Fe,2018,30312,нет дефектов,ООО «Зайцева-Егоров»,11252000.0
5DS9N30LMD6FCSMPE,Kia,Cerato,2018,121869,"не работает кондиционер, износ протектора шин, неисправность датчика давления в шинах",Виноградов Лтд,4924000.0
DLM1LGY5UA056DD0J,Hyundai,Tucson,2016,35220,неисправность датчика давления в шинах,ИП «Самойлова Галкин»,9018000.0
6S9DAE0HSZWB2RRTH,Mercedes-Benz,C-Class,2018,72035,"потёртости салона, царапина на бампере, скол на лобовом стекле","ЗАО «Жданова, Абрамов и Игнатова»",12564000.0
T0P9VYMB6T53TDT19,Lada,XRAY,2018,56770,нет дефектов,ЗАО «Васильев-Прохоров»,22324000.0
6X0DNY6VZW3YFGDFT,Lada,Granta,2017,8228,трещина на фаре,Октоблу (Decathlon),22448000.0
